task,participant,duration
1,325685626,21.57
1,325685733,9.68
1,325165537,3.4
1,325709356,4.5
1,325741004,15.79
1,325763713,16.05
1,325798240,6.19
1,325805313,64.04
1,325992294,14.99
1,325993406,30.24
1,326028230,32.58
1,326029327,12.93
1,326029456,56.73
1,326030262,15.33
1,326031141,118.82
1,326030506,17.24
1,326034692,26.75
1,326264904,13.65
1,326337663,16.89
1,326541136,42.15
1,326562835,13.86
1,326563270,6.44
1,326563353,4.25
1,326563432,2.47
2,325685626,13.82
2,325685733,6.36
2,325165537,4.2
2,325709356,1.02
2,325741004,2.41
2,325763713,11.94
2,325798240,1.44
2,325805313,6.46
2,325992294,2.77
2,325993406,5.26
2,326028230,13.28
2,326029327,7.84
2,326029456,2.01
2,326030262,10.78
2,326031141,130.56
2,326030506,10.45
2,326034692,20.99
2,326264904,6.16
2,326337663,4.14
2,326541136,2.5
2,326562835,18.12
2,326563270,1.29
2,326563353,1.44
2,326563432,4.2
3,325685626,8.62
3,325685733,10.46
3,325165537,64.52
3,325709356,1.71
3,325741004,5.62
3,325763713,6.58
3,325798240,3.08
3,325805313,18.29
3,325992294,9.15
3,325993406,5.87
3,326028230,41.26
3,326029327,13.72
3,326029456,5.47
3,326030262,8.21
3,326031141,10.73
3,326030506,20.83
3,326034692,8.19
3,326264904,22.05
3,326337663,5.51
3,326562835,5.03
3,326563270,3.37
3,326563353,5.28
3,326563432,3.96
4,325685626,9.96
4,325685733,10.72
4,325165537,14.21
4,325709356,4.25
4,325741004,102.25
4,325763713,57.12
4,325798240,5.67
4,325805313,36.85
4,325992294,61.88
4,325993406,8.85
4,326028230,26.6
4,326029327,15.74
4,326029456,49.16
4,326030262,19.97
4,326031141,62.12
4,326030506,25.57
4,326034692,11.53
4,326264904,4.6
4,326337663,54.39
4,326562835,37.09
4,326563270,8.27
4,326563353,8.15
4,326563432,5.31
7,325685626,16.63
7,325685733,9.89
7,325165537,10.55
7,325709356,3.27
7,325741004,51.92
7,325763713,6.24
7,325798240,17.44
7,325805313,39.59
7,325992294,43.66
7,325993406,32.24
7,326028230,22.72
7,326029327,15.63
7,326029456,6.19
7,326030262,22.98
7,326030506,17.59
7,326031141,43.26
7,326034692,45.27
7,326264904,8.42
7,326337663,39.95
7,326563432,11.35
